The [entries] sheet shows the entries for words with IDs ending in "01" (201, 4701, 53401, etc) 
from the collocates table that is used to create the frequency listings that are based on the 
Corpus of Contemporary American English (COCA).

The complete list is available for purchase. See:

http://www.wordfrequency.info [Purchase]

There are minimum values in terms of collocate frequency and Mutual Information (MI) score
for inclusion in the list.

Mutual Information:
ID 1-5 : MI > -3.5
ID 6-29 : MI > -1
ID: 30-99 : ID > 1
ID: 100-30,000 : ID > 2
ID: 30,000-60,000 : ID > 3

Collocate frequency:
ID 1-40,000 : freq >= 2
ID 40,000-60,000 : freq >= 1

---------------------------------------------

The column [% coll < node] refers to the percentage of the tokens for
this collocate and node word where the collocate precedes the node word.

The node and collocate part of speech (PoS) tags can be found at http://ucrel.lancs.ac.uk/claws7tags.html.

For more information:

http://www.wordfrequency.info: Word frequent lists
http://www.americancorpus.org: Corpus of Contemporary American English (COCA)
http://davies-linguistics.byu.edu/ : Mark Davies



ID	lemma	lemPoS	coll	collPoS	MI	freq	[% coll < node]
301	white	j	patch	n	2.69	142	0.4414
301	white	j	fluffy	j	5.38	142	0.8392
301	white	j	flash	n	3.12	141	0.5267
301	white	j	clapboard	n	6.97	139	0.0357
301	white	j	cedar	n	3.96	136	0.1544
301	white	j	flesh	n	2.5	135	0.2101
301	white	j	non-hispanic	j	7.4	134	0.6715
301	white	j	fur	n	3.35	134	0.219
301	white	j	canvas	n	2.82	133	0.1642
301	white	j	wave	v	2.03	132	0.705
301	white	j	overwhelmingly	r	4.27	132	0.9552
301	white	j	privilege	n	2.73	130	0.163
301	white	j	trouser	n	4.44	130	-
301	white	j	striped	j	4.61	130	0.2794
301	white	j	tail	n	2.31	129	0.25
301	white	j	cake	n	2.03	129	0.2481
301	white	j	stark	j	4.21	129	0.8473
301	white	j	orange	n	2.52	128	0.6154
301	white	j	brilliant	j	2.48	127	0.8168
301	white	j	picket	n	5.27	126	0.0231
301	white	j	elderly	j	2.2	125	0.6172
301	white	j	sweater	n	3.27	123	0.2661
301	white	j	envelope	n	2.84	123	0.0968
301	white	j	slack	n	4.18	121	0.4919
301	white	j	color	v	3.4	121	0.3561
301	white	j	revised	j	4.37	119	0.00
301	white	j	slice	n	2.45	118	0.7787
301	white	j	mask	n	2.12	117	0.2677
301	white	j	orange	j	2.34	117	0.4786
301	white	j	rabbit	n	2.94	115	0.1478
301	white	j	trim	n	4.58	113	0.1121
301	white	j	handkerchief	n	4.48	113	0.1043
301	white	j	shiny	j	3.29	113	0.687
301	white	j	suburban	j	2.42	111	0.20
301	white	j	sleeve	n	3	111	0.3514
301	white	j	mushroom	n	2.85	111	0.2069
301	white	j	round	j	2.1	110	0.7018
301	white	j	dead	r	3.44	110	0.9818
301	white	j	candle	n	2.67	110	0.1842
301	white	j	glow	v	3.28	110	0.5526
301	white	j	streak	n	2.95	108	0.3628
301	white	j	racist	j	3.78	108	0.4167
301	white	j	foam	n	3.67	108	0.0727
301	white	j	ounce	n	4.39	107	0.8807
301	white	j	working-class	j	4.25	105	0.2857
301	white	j	shrimp	n	2.77	105	0.2075
301	white	j	wealthy	j	2.1	104	0.6964
301	white	j	guilt	n	2.48	104	0.1731
301	white	j	pickup	n	2.68	103	0.0583
301	white	j	middle-aged	j	3.72	102	0.819
301	white	j	stucco	n	5.42	101	0.0686
301	white	j	porcelain	n	4.12	99	0.1287
401	serve	v	per	i	5.83	6414	0.802
401	serve	v	calorie	n	10.67	2659	0.024
401	serve	v	purpose	n	4.78	2119	0.1083
401	serve	v	before	i	2.31	1622	0.9236
401	serve	v	minute	n	4.39	1257	0.7814
401	serve	v	immediately	r	4.14	1103	0.1846
401	serve	v	interest	n	2.59	1103	0.215
401	serve	v	food	n	2.24	957	0.4244
401	serve	v	sentence	n	4.85	953	0.085
401	serve	v	hot	j	3.09	873	0.2454
401	serve	v	warm	j	3.99	852	0.1747
401	serve	v	model	n	2.33	792	0.1154
401	serve	v	term	n	2.75	789	0.0858
401	serve	v	board	n	2.8	787	0.1353
401	serve	v	function	n	3.84	783	0.1371
401	serve	v	sauce	n	4.56	693	0.477
401	serve	v	prison	n	3.58	690	0.2243
401	serve	v	meal	n	4.02	656	0.4225
401	serve	v	better	r	2.12	645	0.8003
401	serve	v	need	n	2.14	627	0.125
401	serve	v	dinner	n	3.07	586	0.5077
401	serve	v	restaurant	n	2.92	512	0.8046
401	serve	v	salad	n	4.5	510	0.5245
401	serve	v	best	r	2.73	501	0.8304
401	serve	v	serving	n	4.83	499	0.7988
401	serve	v	plate	n	3.28	455	0.3595
401	serve	v	rice	n	3.53	436	0.2592
401	serve	v	hour	n	2.1	432	0.8716
401	serve	v	dish	n	3.6	431	0.5149
401	serve	v	customer	n	2.6	423	0.125
401	serve	v	ready	j	2.05	396	0.9699
401	serve	v	pepper	n	3.38	394	0.9114
401	serve	v	temperature	n	3.12	384	0.5313
401	serve	v	chairman	n	2.7	371	0.0511
401	serve	v	basis	n	2.65	370	0.027
401	serve	v	cheese	n	3.52	366	0.6649
401	serve	v	bowl	n	2.67	366	0.5601
401	serve	v	soup	n	4.14	352	0.4403
401	serve	v	breakfast	n	3.69	346	0.3897
401	serve	v	currently	r	2.97	324	0.9753
401	serve	v	cream	n	3.23	323	0.4369
401	serve	v	chicken	n	2.81	319	0.4198
401	serve	v	reminder	n	4.9	317	0.0095
401	serve	v	taste	v	3.75	311	0.9625
401	serve	v	desire	v	4.43	302	0.9091
401	serve	v	lunch	n	2.79	299	0.3795
401	serve	v	tea	n	3.29	296	0.3098
401	serve	v	fresh	j	2.15	295	0.3254
401	serve	v	coffee	n	2.41	277	0.3705
401	serve	v	bread	n	3.12	275	0.4457
401	serve	v	slice	n	4	273	0.5219
401	serve	v	jail	n	3.44	272	0.2007
401	serve	v	ice	n	2.19	270	0.3333
401	serve	v	wine	n	2.42	264	0.4569
401	serve	v	ingredient	n	3.38	260	0.2654
401	serve	v	potato	n	3.06	248	0.3871
401	serve	v	vegetable	n	2.76	246	0.5887
401	serve	v	cake	n	3.3	245	0.5976
401	serve	v	consultant	n	3.18	241	0.1111
401	serve	v	guide	n	2.59	238	0.0792
401	serve	v	drink	n	2.8	237	0.3333
401	serve	v	useful	j	2.72	231	0.0649
401	serve	v	sugar	n	2.31	230	0.9103
401	serve	v	wedge	n	5.18	229	0.6164
401	serve	v	platter	n	5.4	215	0.3836
401	serve	v	remaining	j	2.82	213	0.5888
401	serve	v	garnish	v	5.92	204	0.3317
401	serve	v	armed	j	2.98	201	0.1244
401	serve	v	tomato	n	2.89	200	0.52
401	serve	v	vice	j	2.36	192	0.0729
401	serve	v	meat	n	2.33	192	0.4513
401	serve	v	sprinkle	v	4.18	190	0.5253
401	serve	v	adviser	n	3.04	187	0.0856
401	serve	v	primarily	r	2.49	185	0.4247
401	serve	v	parsley	n	4.92	183	0.8852
401	serve	v	stir	v	2.27	179	0.7238
401	serve	v	pasta	n	4.01	179	0.3889
401	serve	v	recipe	n	2.79	178	0.5587
401	serve	v	lemon	n	3.25	176	0.5281
401	serve	v	assistant	j	3	175	0.0629
401	serve	v	duty	n	2.17	173	0.4046
401	serve	v	capacity	n	2.07	171	0.2849
401	serve	v	refrigerate	v	5.37	167	0.7746
401	serve	v	toss	v	2.61	164	0.7235
401	serve	v	sandwich	n	3.38	160	0.4217
401	serve	v	bean	n	2.43	155	0.5321
401	serve	v	chill	n	3.88	153	0.9125
401	serve	v	dessert	n	3.7	153	0.5032
401	serve	v	slice	v	3.49	151	0.7654
